GID,SampleID,number,colldate,flowering_season_start,growing_season_start,elevation,latitude,longitude,dist
G29381,SEEDGWAS5103,CIMMYTMA-025862,1976-01-17,6,4,2135,17.517894,-97.342947,1.39258318764984
G29384,SEEDGWAS1745,NA,NA,NA,NA,NA,NA,NA,NA
G29392,SEEDGWAS2643,NA,NA,NA,NA,NA,NA,NA,NA
G29395,SEEDGWAS3662,NA,NA,NA,NA,NA,NA,NA,NA
G29396,SEEDGWAS2644,NA,NA,NA,NA,NA,NA,NA,NA
G29398,SEEDGWAS4193,NA,NA,NA,NA,NA,NA,NA,NA
G29409,SEEDGWAS2645,NA,NA,NA,NA,NA,NA,NA,NA
G29411,SEEDGWAS2646,NA,NA,NA,NA,NA,NA,NA,NA
G29420,SEEDGWAS2647,CIMMYTMA-025944,1990-10-17,12,10,848,-16.228093,-44.172999,61.6673550644841
G29423,SEEDGWAS4194,NA,NA,NA,NA,NA,NA,NA,NA
G29430,SEEDGWAS5362,NA,NA,NA,NA,NA,NA,NA,NA
G29431,SEEDGWAS2649,NA,NA,NA,NA,NA,NA,NA,NA
G29436,SEEDGWAS2650,NA,NA,NA,NA,NA,NA,NA,NA
G29437,SEEDGWAS3663,NA,NA,NA,NA,NA,NA,NA,NA
G29439,SEEDGWAS2651,NA,NA,NA,NA,NA,NA,NA,NA
G29440,SEEDGWAS2652,NA,NA,NA,NA,NA,NA,NA,NA
G29443,SEEDGWAS1746,NA,NA,NA,NA,NA,NA,NA,NA
G29445,SEEDGWAS4034,CIMMYTMA-026095,1977-01-01,7,5,320,25.25,-99.68333333,8.84445823840494
G29450,SEEDGWAS1747,CIMMYTMA-026293,1960-01-01,NA,NA,448,10.257989,-67.548559,29.2738718303329
G29452,SEEDGWAS1748,CIMMYTMA-026306,,NA,NA,42,7.770415,-66.953303,30.5282544317294
G29453,SEEDGWAS2272,CIMMYTMA-026313,1978-05-09,12,10,259,-15.76,-40.28,64.7326955543934
G29454,SEEDGWAS4195,CIMMYTMA-026315,1978-05-06,4,2,57,-16.388263,-39.110395,66.0592340029518
G29473,SEEDGWAS3352,CIMMYTMA-026325,1978-05-12,12,10,444,-14.23,-41.63,62.7947264793611
G29475,SEEDGWAS3353,CIMMYTMA-026328,1978-05-18,2,12,83,-21.681173,-57.825722,54.4889459789132
G29479,SEEDGWAS3354,CIMMYTMA-026332,1978-05-12,12,10,444,-14.23,-41.63,62.7947264793611
G29480,SEEDGWAS3664,NA,NA,NA,NA,NA,NA,NA,NA
G29496,SEEDGWAS4196,NA,NA,NA,NA,NA,NA,NA,NA
G29503,SEEDGWAS4197,NA,NA,NA,NA,NA,NA,NA,NA
G29506,SEEDGWAS3665,NA,NA,NA,NA,NA,NA,NA,NA
G29508,SEEDGWAS5363,NA,NA,NA,NA,NA,NA,NA,NA
G29510,SEEDGWAS2653,NA,NA,NA,NA,NA,NA,NA,NA
G29513,SEEDGWAS2654,NA,NA,NA,NA,NA,NA,NA,NA
G29517,SEEDGWAS4198,NA,NA,NA,NA,NA,NA,NA,NA
G29518,SEEDGWAS4199,NA,NA,NA,NA,NA,NA,NA,NA
G29521,SEEDGWAS4200,NA,NA,NA,NA,NA,NA,NA,NA
G29522,SEEDGWAS5364,NA,NA,NA,NA,NA,NA,NA,NA
G29523,SEEDGWAS4201,NA,NA,NA,NA,NA,NA,NA,NA
G29527,SEEDGWAS4202,NA,NA,NA,NA,NA,NA,NA,NA
G29536,SEEDGWAS4203,NA,NA,NA,NA,NA,NA,NA,NA
G29537,SEEDGWAS2655,NA,NA,NA,NA,NA,NA,NA,NA
G29543,SEEDGWAS3668,NA,NA,NA,NA,NA,NA,NA,NA
G29544,SEEDGWAS3669,NA,NA,NA,NA,NA,NA,NA,NA
G29545,SEEDGWAS3355,CIMMYTMA-026407,1979-06-20,2,12,22,-1.75,-53.5,46.5249184833007
G29548,SEEDGWAS3357,CIMMYTMA-026420,1978-05-19,12,10,675,-13.75,-44.47,60.1045584116361
G29549,SEEDGWAS3358,CIMMYTMA-026422,1978-05-12,12,10,444,-14.23,-41.63,62.7947264793611
G29550,SEEDGWAS3670,NA,NA,NA,NA,NA,NA,NA,NA
G29552,SEEDGWAS3359,CIMMYTMA-026426,1978-05-12,4,2,229,-25.13333333,-55.36666667,58.6790943327652
G29557,SEEDGWAS3671,NA,NA,NA,NA,NA,NA,NA,NA
G29558,SEEDGWAS3672,NA,NA,NA,NA,NA,NA,NA,NA
G29560,SEEDGWAS3673,NA,NA,NA,NA,NA,NA,NA,NA
G29561,SEEDGWAS3674,NA,NA,NA,NA,NA,NA,NA,NA
G29564,SEEDGWAS4204,NA,NA,NA,NA,NA,NA,NA,NA
G29566,SEEDGWAS5365,NA,NA,NA,NA,NA,NA,NA,NA
G29568,SEEDGWAS1749,CIMMYTMA-026515,1980-01-01,3,1,86,-26.187748,-59.378135,56.7792546808377
G29578,SEEDGWAS535,CIMMYTMA-026583,1980-01-01,NA,NA,63,-27.47,-58.83,58.1142698532622
G29581,SEEDGWAS536,CIMMYTMA-026587,1980-01-01,3,1,70,-27.939614,-58.773539,58.5120370801889
G29582,SEEDGWAS1039,CIMMYTMA-026630,1980-01-01,6,4,550,-26.63,-54.13,60.6154410213914
G29583,SEEDGWAS1751,CIMMYTMA-026665,1980-01-01,2,12,92,-26.87,-60.45,56.6237755828572
G29584,SEEDGWAS1752,CIMMYTMA-026678,1980-01-01,2,12,102,-26.68,-60.73,56.3002207927978
G29585,SEEDGWAS1040,CIMMYTMA-026697,1980-01-01,3,1,62,-26.142484,-58.240208,57.4852977743564
G29586,SEEDGWAS537,CIMMYTMA-026699,1980-01-01,3,1,82,-25.207418,-58.325108,56.7269327413165
G29587,SEEDGWAS538,CIMMYTMA-026701,1980-01-01,3,1,82,-25.207418,-58.325108,56.7269327413165
G29589,SEEDGWAS1041,CIMMYTMA-026704,,3,1,88,-25.3,-58.75,56.5153789607553
G29594,SEEDGWAS539,CIMMYTMA-026712,1980-01-01,1,11,175,-23.78,-61.48,53.5836420301735
G29597,SEEDGWAS541,CIMMYTMA-026714,,1,11,175,-23.78,-61.48,53.5836420301735
G29600,SEEDGWAS542,CIMMYTMA-026715,1980-01-01,1,11,175,-23.78,-61.48,53.5836420301735
G29601,SEEDGWAS2273,CIMMYTMA-026725,1980-01-01,3,1,66,-26.145978,-58.25059,57.4811175578561
G29604,SEEDGWAS2274,CIMMYTMA-026727,1980-01-01,3,1,75,-25.398244,-58.204427,56.9497706588425
G29605,SEEDGWAS543,CIMMYTMA-026735,1980-01-01,3,1,86,-25.743184,-59.135576,56.5977560851422
G29606,SEEDGWAS544,CIMMYTMA-026738,1980-01-01,3,1,86,-25.743184,-59.135576,56.5977560851422
G29609,SEEDGWAS545,CIMMYTMA-026739,1980-01-01,3,1,86,-25.743184,-59.135576,56.5977560851422
